label,variant,run_id,commit,status,dataset_key,dataset,overall_fps,total_frames,max_peak_allocated_mb,cache_tokens_max,seq_max,evict_calls_total,cache_hit_rate,AbsRel,RMSE,delta125
streamvggt_baseline,StreamVGGT,20260504_060635_baseline_video_depth,6fc9571,DONE,bonn_baseline,bonn,3.172307607142419,550,21598.8505859375,110440.0,110440.0,0.0,0.9819819819819819,0.05851512805452123,0.2601794144038757,0.972067936023029
streamvggt_baseline,StreamVGGT,20260504_060635_baseline_video_depth,6fc9571,DONE,kitti_baseline,kitti,5.854406527227607,1269,12721.771484375,27604.0,27604.0,0.0,0.9802649995334515,0.17249622878075385,4.9676834010678705,0.7216628812665065
streamvggt_baseline,StreamVGGT,20260504_060635_baseline_video_depth,6fc9571,DONE,sintel_baseline,sintel,6.1824381407620015,1064,10544.3310546875,28000.0,28000.0,0.0,0.959150765923139,0.32424591770645345,3.8179467467915584,0.652847994888309
xstreamvggt,XStreamVGGT,20260504_062516_xstreamvggt_xstream_cache2048_video_depth,6fc9571,DONE,bonn_xstreamvggt_xstream_cache2048,bonn,6.985700090559181,550,10047.0498046875,2048.0,2048.0,12960.0,0.6679375082684883,0.06374708713883998,0.27779849381981825,0.9717317628660792
xstreamvggt,XStreamVGGT,20260504_062516_xstreamvggt_xstream_cache2048_video_depth,6fc9571,DONE,kitti_xstreamvggt_xstream_cache2048,kitti,6.796910073578303,1269,8128.4033203125,2048.0,2048.0,29208.0,0.8281403467250459,0.18699170880048252,5.46035720414457,0.711162023557669
xstreamvggt,XStreamVGGT,20260504_062516_xstreamvggt_xstream_cache2048_video_depth,6fc9571,DONE,sintel_xstreamvggt_xstream_cache2048,sintel,7.238540377925158,1064,7901.603515625,2048.0,2048.0,23880.0,0.7763175282005694,0.3405604991094752,3.945554404333937,0.6210680090794031
infinitevggt,InfiniteVGGT,20260504_064047_infinitevggt_rolling_memory_budget1200000_video_depth,6fc9571,DONE,bonn_infinitevggt_rolling_memory_budget1200000,bonn,3.8300355886427897,550,16069.89453125,61376.0,63052.0,6413.0,0.974162963245316,0.05978090486504225,0.26414917514712943,0.9728050493666122
infinitevggt,InfiniteVGGT,20260504_064047_infinitevggt_rolling_memory_budget1200000_video_depth,6fc9571,DONE,kitti_infinitevggt_rolling_memory_budget1200000,kitti,5.336254654161438,1269,13810.20361328125,27604.0,27604.0,0.0,0.9802649995334515,0.1722965401731907,4.958088963386718,0.7241017004843846
infinitevggt,InfiniteVGGT,20260504_064047_infinitevggt_rolling_memory_budget1200000_video_depth,6fc9571,DONE,sintel_infinitevggt_rolling_memory_budget1200000,sintel,5.718561746899842,1064,11152.76708984375,28000.0,28000.0,0.0,0.959150765923139,0.32051439726905273,3.811592485082972,0.6539859797519394
obvggt_ctrl_4999abd,OBVGGT_ctrl,20260504_065904_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,4999abd,DONE,bonn_obcache_p1_no_recent_ctrl_joint_s1r0h4,bonn,5.834794313622805,550,10454.39599609375,5020.0,6024.0,12600.0,0.8294573643410853,0.05158416416921658,0.25125198789316794,0.9718674780258811
obvggt_ctrl_4999abd,OBVGGT_ctrl,20260504_065904_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,4999abd,DONE,kitti_obcache_p1_no_recent_ctrl_joint_s1r0h4,kitti,6.1026522306666084,1269,8153.8603515625,2060.0,2472.0,28896.0,0.8289526890416499,0.09906004350993246,3.623655845505904,0.9247005664528023
obvggt_ctrl_4999abd,OBVGGT_ctrl,20260504_065904_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,4999abd,DONE,sintel_obcache_p1_no_recent_ctrl_joint_s1r0h4,sintel,5.952135477541561,1064,8033.6201171875,2800.0,3360.0,22776.0,0.8238118893856599,0.3193311462474295,3.787306213965995,0.6597834625855451
obvggt_best_6fc9571,OBVGGT_best_infra,20260504_071552_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,6fc9571,DONE,bonn_obcache_p1_no_recent_ctrl_joint_s1r0h4,bonn,6.02060941215667,550,10459.7529296875,5020.0,6024.0,12600.0,0.8294573643410853,0.05158416416921658,0.25125198789316794,0.9718674780258811
obvggt_best_6fc9571,OBVGGT_best_infra,20260504_071552_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,6fc9571,DONE,kitti_obcache_p1_no_recent_ctrl_joint_s1r0h4,kitti,6.10760590283615,1269,8154.0615234375,2060.0,2472.0,28896.0,0.8289526890416499,0.09906004350993246,3.623655845505904,0.9247005664528023
obvggt_best_6fc9571,OBVGGT_best_infra,20260504_071552_obcache_p1_no_recent_ctrl_joint_s1r0h4_video_depth,6fc9571,DONE,sintel_obcache_p1_no_recent_ctrl_joint_s1r0h4,sintel,6.142256840305419,1064,8044.373046875,2800.0,3360.0,22776.0,0.8238118893856599,0.3193311462474295,3.787306213965995,0.6597834625855451
